event_hour_utc,date_utc,bitget_funding_rate,binance_funding_rate,match
2026-07-04T00,2026-07-04,0.000074,0.00009748,1
2026-07-04T08,2026-07-04,0.000047,0.00007642,1
2026-07-04T16,2026-07-04,0.000034,0.00005167,1
2026-07-05T00,2026-07-05,0.00006,0.00007818,1
2026-07-05T08,2026-07-05,0.000081,0.00006162,1
2026-07-05T16,2026-07-05,0.000045,0.00004748,1
2026-07-06T00,2026-07-06,0.000035,0.00008332,1
2026-07-06T08,2026-07-06,0.000046,0.00004679,1
2026-07-06T16,2026-07-06,0.000049,0.00006963,1
2026-07-07T00,2026-07-07,0.000064,0.0000762,1
2026-07-07T08,2026-07-07,0.00003,0.00003271,1
2026-07-07T16,2026-07-07,0.000047,0.00004088,1
2026-07-08T00,2026-07-08,0.00005,0.00001519,1
2026-07-08T08,2026-07-08,0.000015,0.00002984,1
2026-07-08T16,2026-07-08,0.000053,0.00004537,1
2026-07-09T00,2026-07-09,0.000077,0.00007189,1
2026-07-09T08,2026-07-09,0.000001,0.00005342,1
2026-07-09T16,2026-07-09,0.000042,0.00002748,1
2026-07-10T00,2026-07-10,0.000035,0.00002613,1
2026-07-10T08,2026-07-10,0.000007,0.00003355,1
2026-07-10T16,2026-07-10,0.000013,0.00004632,1
2026-07-11T00,2026-07-11,0.000012,0.00005051,1
