date_utc,phase,spot_close,perp_last,perp_mark,mark_source,basis_bps,funding_rate_daily_bps,sma7_funding_bps,signal_pos,reversal_flag,perp_short_mtm_bps,funding_flow_bps,spot_leg_pnl_bps,reversal_cost_bps,capital_cost_bps,reconstruction_cost_bps,daily_net_pnl_bps,cumulative_net_pnl_bps,margin_ratio,imr,mmr,liquidation_flag,margin_call_flag,sleeve_daily_return_pct,sleeve_cumulative_return_pct,binance_funding_daily_bps,f2_pair_sign_match,data_gap_flag
2026-06-04,warmup,63883.9,63853.2,63855.5,mark,-4.805592645408995,0.6000000000000001,1.807142857142857,1,0,41.03333510089069,0.6000000000000001,-40.91580566691566,0,0.36529680365296807,0,0.3522326303220628,0.3522326303220628,0.3374966668434224,0.3333333333333333,0.005,0,0,0.012782522154387662,0.012782522154387662,0.3147,1,0
2026-06-05,warmup,61056.01,61031.9,61031.9,mark,-3.94883321068648,0.8899999999999999,1.4814285714285713,1,0,442.18587279091,0.8899999999999999,-442.66082690630924,0,0.36529680365296807,0,0.04974908094791791,0.4019817112699807,0.3818042541225134,0.3333333333333333,0.005,0,0,0.001805394147599941,0.014587916301987603,-0.0979,0,0
2026-06-06,warmup,60885.97,60851.5,60856.2,mark,-5.6614027829401685,-0.58,1.4871428571428569,1,0,28.788223863258633,-0.58,-27.849838205935562,0,0.36529680365296807,0,-0.006911146329721396,0.39507056494025933,0.38462507650883926,0.3333333333333333,0.005,0,0,-0.00025080550030558943,0.014337110801682013,0.093,0,0
2026-06-07,warmup,63330.01,63303,63303.2,mark,-4.264960640303394,-0.12999999999999995,1.247142857142857,1,0,-402.09543152546433,-0.12999999999999995,401.4126735600998,0,0.36529680365296807,0,-1.1780547690176784,-0.7829842040774191,0.34440253335629284,0.3333333333333333,0.005,0,0,-0.04275160756765155,-0.028414496765969535,0.03210000000000002,0,0
2026-06-08,warmup,63083.42,63058.8,63058.9,mark,-3.902768746525687,0.16000000000000003,1.2185714285714286,1,0,38.59204589973242,0.16000000000000003,-38.93730634181192,0,0.36529680365296807,0,-0.550557245732521,-1.33354144980994,0.34827773794626604,0.3333333333333333,0.005,0,0,-0.019979722447633186,-0.04839421921360272,0.7109,1,0
2026-06-09,warmup,61720,61695.3,61695.4,mark,-4.00194426441949,1.0499999999999998,0.8285714285714286,1,0,216.22641688960664,1.0499999999999998,-216.1296898614562,0,0.36529680365296807,0,0.7814302244973126,-0.5521112253126275,0.3700053796352267,0.3333333333333333,0.005,0,0,0.028358102847007474,-0.020036116366595247,0.20819999999999997,1,0
2026-06-10,warmup,61512.4,61483.3,61486.7,mark,-4.730753474096043,-0.67,0.55,1,0,33.82748146539383,-0.67,-33.63577446532706,0,0.36529680365296807,0,-0.843589803586398,-1.3957010288990255,0.37332112778176607,0.3333333333333333,0.005,0,0,-0.030613873972150384,-0.050649990338745635,-0.047800000000000065,1,0
2026-06-11,warmup,63627.73,63599.7,63599.6,mark,-4.405311960682254,-0.8200000000000001,0.18857142857142856,1,0,-343.63529023349713,-0.8200000000000001,343.88676104330165,0,0.36529680365296807,0,-0.9338259938485018,-2.329527022747527,0.33887559875841633,0.3333333333333333,0.005,0,0,-0.03388854531676213,-0.08453853565550776,0.445,0,0
2026-06-12,warmup,63575,63552.6,63552.6,mark,-3.5233975619349516,-0.5,-0.01428571428571433,-1,1,-7.389983584802362,0.5,8.287267202523596,24.064,0.36529680365296807,0,-23.032013185931767,-25.361540208679294,0.3381866003999361,0.3333333333333333,0.005,0,0,-0.8358317585174638,-0.9203702941729716,0.19829999999999998,0,0
2026-06-13,warmup,64457.06,64415.4,64419.2,mark,-6.46321752807159,0.44,-0.21285714285714288,-1,0,136.35948804612275,-0.44,-138.74321667322053,0,0.36529680365296807,0,-3.189025430750747,-28.55056563943004,0.3517785492045484,0.3333333333333333,0.005,0,0,-0.11572973288194462,-1.036100027054916,0.6355,1,0
