date_utc,phase,spot_close,perp_last,perp_mark,mark_source,basis_bps,funding_rate_daily_bps,sma7_funding_bps,signal_pos,reversal_flag,perp_short_mtm_bps,funding_flow_bps,spot_leg_pnl_bps,reversal_cost_bps,capital_cost_bps,reconstruction_cost_bps,daily_net_pnl_bps,cumulative_net_pnl_bps,margin_ratio,imr,mmr,liquidation_flag,margin_call_flag,sleeve_daily_return_pct,sleeve_cumulative_return_pct,binance_funding_daily_bps,f2_pair_sign_match,data_gap_flag
2026-06-04,warmup,1770.85,1769.96,1770,mark,-5.025835050963507,-0.06,1.9885714285714282,1,0,233.83617122237132,-0.06,-233.995852819201,0,0.36529680365296807,0,-0.5849784004825276,-0.5849784004825276,0.35671095045557044,0.3333333333333333,0.005,0,0,-0.022164831594282973,-0.022164831594282973,1.6079,0,0
2026-06-05,warmup,1583.3,1582.6,1582.49,mark,-4.421145708330989,-0.9800000000000001,1.6757142857142857,1,0,1059.378531073446,-0.9800000000000001,-1059.0959143913935,0,0.36529680365296807,0,-1.0626801215999828,-1.6476585220825104,0.4625508035629151,0.3333333333333333,0.005,0,0,-0.040264949807423345,-0.06242978140170632,-0.5846,1,0
2026-06-06,warmup,1569.58,1568.72,1568.86,mark,-5.479172772333363,-1.7,1.2185714285714286,1,0,86.13008613008732,-1.7,-86.65445588328157,0,0.36529680365296807,0,-2.5896665568473916,-4.237325078929902,0.4709938121759238,0.3333333333333333,0.005,0,0,-0.09812246583894768,-0.160552247240654,-1.4539000000000002,1,0
2026-06-07,warmup,1690.56,1689.8,1689.7,mark,-4.495551769827696,-1.69,0.7300000000000001,1,0,-770.2408117996517,-1.69,770.779444182521,0,0.36529680365296807,0,-1.5166644207834858,-5.753989499713388,0.39380073099595864,0.3333333333333333,0.005,0,0,-0.05746641490348628,-0.21801866214414028,-1.6340999999999999,1,0
2026-06-08,warmup,1690.35,1689.11,1689.23,mark,-7.33575886650699,-0.93,0.3357142857142858,1,0,2.7815588566015848,-0.93,-1.2421919364002942,0,0.36529680365296807,0,0.24407011654825167,-5.509919383165136,0.3939858868816188,0.3333333333333333,0.005,0,0,0.009247816716013256,-0.20877084542812702,-1.9349,1,0
2026-06-09,warmup,1639.48,1638.81,1638.81,mark,-4.086661624417942,-0.66,-0.22571428571428573,-1,1,-298.47918874280066,0.66,300.94359156387696,24.224,0.36529680365296807,0,-21.464893982576637,-26.974813365741774,0.36420396800733873,0.3333333333333333,0.005,0,0,-0.8133048329998288,-1.0220756784279559,-0.9652000000000001,1,0
2026-06-10,warmup,1621.59,1620.71,1620.91,mark,-5.426772488729467,-0.5599999999999999,-0.6814285714285715,-1,0,-109.22559662193798,0.5599999999999999,109.11996486690944,0,0.36529680365296807,0,0.08907144131870742,-26.885741924423066,0.353337408345145,0.3333333333333333,0.005,0,0,0.003374916911565825,-1.01870076151639,-1.1788,1,0
2026-06-11,warmup,1673.5,1672.99,1672.99,mark,-3.0475052285628377,-0.45999999999999996,-0.9400000000000001,-1,0,321.30099758777453,0.45999999999999996,-320.1179089658912,0,0.36529680365296807,0,1.277791818230269,-25.607950106192796,0.38551350810392243,0.3333333333333333,0.005,0,0,0.04841553199274489,-0.9702852295236453,-0.5362,1,0
2026-06-12,warmup,1666.36,1665.76,1665.76,mark,-3.600662521903485,0.8200000000000001,-0.9971428571428573,-1,0,-43.2160383504987,-0.8200000000000001,42.66507319988122,0,0.36529680365296807,0,-1.7362619542702769,-27.34421206046307,0.38110990426887253,0.3333333333333333,0.005,0,0,-0.0657869654473008,-1.0360721949709462,-1.0474,0,0
2026-06-13,warmup,1681.21,1680.57,1680.57,mark,-3.8067820200932667,1.9300000000000002,-0.74,-1,0,88.9083661511858,-1.9300000000000002,-89.11639741712607,0,0.36529680365296807,0,-2.5033280695934517,-29.847540130056522,0.3898077408839911,0.3333333333333333,0.005,0,0,-0.09485110055689588,-1.130923295527842,0.5595,1,0
